id,rl_eight_params_F,rlddm_eight_params_F,rlddm_eight_params_all_affect_drift_F,rlddm_nine_params_F
BA003,-92.8768941206341,-170.868106983093,-95.4353824548747,-92.9611606956947
BA042,-69.1594990190145,-155.606117618616,-54.5566742598423,-41.9590903427638
BA284,-102.638126061328,-189.471779639035,-98.4072897192469,-99.7689783863601
BA504,-46.9426427087977,-148.288379339749,-50.7813581553166,-28.7505171803663
BA548,-90.6090950397627,-144.578244878959,-65.1367840602629,-64.713840627674
BA596,-68.6291492640109,-297.670548978894,-101.563621460763,-61.218373261461
BA693,-44.6757654478157,-122.807617120177,-29.448099973294,-14.5354761941788
BA935,-107.989346573287,-97.0570051157694,-81.5049584500736,-71.4619190895658
BA953,-85.7467944802264,-176.426321265052,-73.302327882027,-70.1742437545244
BA977,-111.891815293177,-205.747562247776,-108.78549522412,-109.71722532118
BB146,-94.2540164211905,-232.589381388623,-96.0208293261655,-89.2292310861847
BB223,-47.2770794750059,-75.2529479934652,40.2102417036067,52.7268731994525
BB230,-90.2518483401137,-158.361085007478,-63.0802143781521,-65.6063622249384
BB278,-99.5186448548107,-195.132901786898,-98.9912839875902,-99.5587033816867
BB305,-25.3322314250661,-75.5699631262359,84.4824580576527,105.159402888256
BB328,-118.595869305824,-126.651706689746,-101.767168242101,-103.172653355447
BB360,-66.9669224366421,-121.487651187817,-34.7327957123186,-33.7647592683386
BB382,-111.025689326956,-173.038404319719,-111.212309419937,-111.191033804062
BB383,-65.8003744180441,-122.968344573128,-43.100625304395,-32.8802246708521
BB389,-95.2903455463329,-155.884051811957,-91.1932989773956,-89.5834786773404
BB432,-119.507182647201,-150.095385410088,-109.114586597294,-109.974774598345
BB473,-94.3498477512831,-195.387290486593,-91.1882407810088,-90.6822592849594
BB474,-102.820058467192,-378.306326185092,-152.160237598464,-84.5259232193801
BB481,-114.456060119521,-164.928328114473,-109.7948763253,-106.891897215462
BB483,-67.1740110027754,-92.3386142960347,-33.3897859245269,-32.8945414653585
BB488,-74.9928290746135,-124.127598295105,-36.8175876409631,-37.2984375783203
BB497,-63.675862965974,-154.137813883104,-58.4241657299589,-49.5159723004825
BB498,-81.0434776235928,-155.810566106307,-68.9712118754309,-62.3318857050842
BB508,-104.666813592878,-175.105095428875,-99.0074563794707,-99.2916249259949
BB512,-57.8167815318834,-196.142256236023,-47.1880869088524,-24.2297261567296
BB523,-65.4533674348636,-146.778996567589,-34.2438006322259,-35.5115085561223
BB527,-88.6955926571487,-174.515901728577,-77.7644199424677,-68.8154911261637
BB544,-85.9643689593063,-173.812313315427,-74.8434708053083,-75.788059856016
BB565,-108.713999841966,-121.008646462336,-90.8760395269839,-84.3297066149269
BB567,-101.189423028711,-247.210115433919,-100.77188258123,-89.4224579387397
BB571,-79.1102057561085,-83.0757342342659,-35.4560656523937,-34.4085077247987
BB579,-119.937515927116,-102.422055813543,-55.1054557961166,-58.2507956324509
BB601,-110.23348544089,-162.34147022939,-104.916629939798,-104.774501665369
BB625,-102.699851476761,-170.905624320209,-92.4218821786773,-93.0895765353172
BB641,-91.1814453219334,-203.817664167556,-101.69545017352,-94.1800689394539
BB662,-108.715674742349,-220.579731755419,-119.764408987632,-113.399724134345
BB669,-97.5145029497859,-155.230557188135,-82.2322453347167,-82.573822748393
BB694,-94.6297894221935,-183.903271110659,-83.3097057650485,-80.4160607933274
BB706,-77.7346537811384,-159.286536921869,-59.9949763695687,-52.6867108219383
BB710,-88.5077999532059,-35.6974823535387,-27.645795720294,-3.75248835851565
BB728,-99.2897834550491,-232.952141764369,-100.973042410557,-97.3110863672108
BB756,-87.8258040008872,-171.712291405312,-78.5283186594576,-75.6963162690096
BB809,-50.6766299760504,-73.1632216814233,-5.52602135529748,4.11767861214088
BB818,-71.2081547902728,-107.338753656221,-14.754577288965,-15.8751455417048
BB822,-112.443320640857,-88.3593640020241,-100.065165565222,-85.7827859575962
BB845,-76.321368955206,-163.70529550811,-43.984620769443,-34.2839045754135
BB857,-82.2040486675872,-227.875197487691,-84.6900843882214,-59.0845606378493
BB867,-69.4669220846254,-101.223158910446,-24.7107772806737,-23.2332340736876
BB898,-69.987406617349,-168.480475312067,-52.6660416979186,-36.5847206373988
BB906,-98.5760434916388,-275.114409805587,-115.041039395573,-89.5814546112348
BB916,-104.972092792096,-139.11559170813,-63.8605379808978,-66.0116786146107
BB920,-50.9555588772271,-101.713111767144,14.6163133943222,26.7832891194549
BB998,-43.0894244058335,-76.0016934821529,27.3141260196371,42.4104989350421
BC006,-61.0608106822629,-214.654075155729,-88.204713806706,-77.4552882415019
BC027,-113.594112738318,-109.93787319936,-104.077571230286,-95.988135563751
BC034,-50.1518610955576,-75.870967708692,53.4924491777715,62.4881465868464
BC044,-63.6237370528468,-117.165263422434,-40.1121409512413,-36.9062082510903
BC058,-68.2979274496019,-189.258521320857,-73.4216491040075,-45.9966256412705
BC059,-97.9632897295582,-212.859499373496,-89.7283900408926,-84.9498480867096
BC083,-96.0071366328247,-177.886825906244,-92.3799073972719,-91.0863487953565
BC084,-54.9944834148144,-123.735550547439,-13.169388986294,-12.6942869794778
BC096,-98.1962078490231,-53.4119061722114,-40.4333457054562,-3.74232095337707
BC097,-106.279416457958,-142.643752184379,-96.2463219489936,-93.9685963448548
BC100,-67.0756003388912,-162.158217141019,-41.2908872161728,-34.5622531383969
BC129,-91.0452745572452,-49.3822094501021,-37.4218999412023,-3.74851926432743
BC181,-86.9244076790839,-145.143630687345,-63.4562859277785,-59.8615012858362
BC205,-17.709219279795,-13.8470593664463,159.089085987647,212.240822014352
BC234,-44.477046327775,-63.5225002127115,-4.27796524589674,1.51378975477443
BC242,-53.1174644022037,-155.011179595851,-25.2556330683916,-7.78129709150376
BC245,-70.5785325951718,-132.727724388353,-30.060607265695,-31.5103070500447
BC280,-117.302958175232,-256.476680022246,-133.392561722291,-126.188062810139
BC301,-98.384667225143,-117.597803854649,-58.2620700107738,-60.7099463180673
BC312,-75.1468359748889,-135.886841220268,-28.8413891903663,-26.7568430037569
BC351,-85.7696423856975,-202.588447063667,-79.3458006915451,-79.4995476094564
BC352,-107.581935499829,-193.188199209631,-109.075002341131,-109.441801294562
BC367,-56.8783974293182,-123.051012063293,-14.7720353214465,-12.0941206971958
BC380,-76.0940822209276,-131.438912175102,-58.8927620458874,-58.6491376516075
BC496,-74.6495663312634,-158.897083779007,-67.0954404173458,-63.0576406443748
BC512,-57.1825977834115,-154.429006948538,-55.4832982844801,-37.2496013392281
BC514,-78.9207432003777,-124.13491374749,-66.4426392120205,-65.5887877925129
BC543,-101.971871113297,-166.165369310078,-87.0688833488806,-88.0536772473704
BC553,-43.9334317704638,-95.6273086255289,34.3766142016302,35.5923975919529
BC581,-71.3946786957973,-124.616192942986,-21.6818839430741,-22.422543225266
BC615,-68.5791391384282,-130.968657488292,-22.7937200188165,-23.1713531933876
BC632,-82.0425959593662,-172.080883769727,-56.4323526703868,-53.5799815044135
BC653,-61.9899143556813,-76.9026282298626,16.0824743179313,14.3096266816605
BC678,-117.177671601449,-171.188171838248,-115.534802743957,-116.431895632274
BC726,-80.4627903069901,-198.592403750941,-89.0434260055068,-80.924707353993
BC758,-97.5553668192265,-122.460045878169,-73.899104293431,-69.5466458942921
BC762,-95.9993484830404,-219.310202835042,-103.769091781418,-98.0734890968021
BC771,-48.8184773580137,-140.240964059273,-8.33322765242819,0.791445487185401
BC838,-79.3538140087367,-159.835818781397,-54.1359258745801,-55.4610882905521
BC854,-102.705948920219,-160.468990816531,-92.7291566404222,-93.5519262969384
BC903,-50.4675989975556,-140.898730214497,-37.0316850757191,-34.7054795082194
BC963,-61.7113637950542,-120.370470889056,-46.2684182869187,-44.51658265385
BC998,-54.6363474106311,-159.068211271588,-27.9116364637731,-22.1916402052855
BD021,-48.9790686197957,-93.0974285841262,2.76320265326446,8.0556991144534
BD205,-48.16733205983,-127.924520414077,-32.1223517006338,-14.4157588704156
BD217,-83.7616672728217,-245.897916842994,-82.0423627119936,-67.6761178296455
BD234,-46.161877670355,-110.217322110699,-11.4613353386114,-3.67261714365575
BD270,-93.8543299964406,-119.874851136033,-61.4999731258421,-59.3410874430844
BD331,-92.0324506061265,-176.433858676352,-81.5546423376464,-78.11645732528
BD356,-72.8935665747427,-183.884519549425,-74.4558949618607,-53.5240693327051
BD409,-54.6150008033903,-42.7542119830167,60.3293406042681,69.2718623418065
BD440,-109.06800042157,-204.095421854235,-110.166043136584,-109.986494316221
BD506,-100.154948929966,-202.153400620271,-100.6864948822,-100.043410077933
BD512,-103.117394004144,-159.779254996605,-89.3766325889331,-89.3364324786718
BD730,-83.9200022612149,-195.564371338406,-90.5112815117119,-85.4873133124109
BD793,-75.9875225938555,-286.962448864064,-93.6733272795404,-66.7161165487647
BD796,-70.7724052137206,-108.825099347042,-18.5102782413383,-19.5924786897264
BD961,-76.1046440602868,-184.34056296006,-61.4142706041192,-55.5768948022969
BE109,-87.171559853206,-188.464816585591,-70.3704555391422,-66.314828420573
BE149,-88.3920414445728,-91.4638889013874,-11.5440800063315,-5.30064048979141
BE264,-89.207455504714,-211.827528723804,-98.5889919283093,-86.1568631331638
BE273,-99.5308930263203,-172.53189267071,-89.9330002691801,-85.6794526866335
BE280,-96.5137241083688,-213.184439042641,-90.0979809149459,-81.6540176090694
BE283,-44.4353058444689,-147.244996917273,-41.3452735772305,-16.0979653687837
BE350,-36.7028842594259,-126.811379679202,-20.3503597047982,-3.49203705911563
BE369,-109.079747458817,-135.520211890901,-93.68435998304,-90.4763750676225
BE376,-82.4868772180391,-284.486769044554,-88.0093856763528,-40.2496819172213
BE424,-40.5923932407849,-81.0711947200713,27.5965640912595,34.9339544803885
BE445,-75.7353875951671,-85.6496173790574,-62.305952217061,-52.6614541077356
BE520,-65.5646789919558,-128.498579507105,-45.2427656954727,-44.3285566796978
BE543,-95.5355276766662,-53.0258218880043,-39.963053291836,-3.7481734179885
BE596,-74.8126111635563,-107.397774400043,-65.6285852755496,-55.0198712055142
BE672,-76.8409353463277,-259.027219424754,-82.5584035457482,-48.7446461706226
BE677,-68.8399443603135,-203.166732563394,-43.2741450753041,-22.1953590649505
BE758,-55.4224762675009,-154.834565086843,-50.2598619159537,-27.6899048085337
BE999,-86.80494262197,-149.770934901779,-64.7046524256867,-66.3982139503509
BF040,-77.5968123533898,-129.141126758234,-72.2705263268489,-68.4964946995634
BF060,-50.4867652031209,-41.2824345285663,47.609652707811,46.8355567347588
BF087,-66.0889735675633,-164.649588000422,-70.3596715430802,-55.6638670198364
BF145,-86.0127506076619,-130.138568982421,-56.9300141980647,-56.7002021668037
BF223,-99.067761345764,-257.091484363316,-104.154718723336,-91.052508203523
BF228,-84.0604868348893,-207.000112296419,-73.6015064847873,-67.9515385612562
BF332,-58.315904872941,-105.152924344522,-4.9360639690299,1.98964938542292
BG691,-40.0679547770805,-28.1304170128509,20.8957469363353,26.570930300933
BG921,-81.3600617095123,-148.038939937862,-72.9153956738461,-69.0322547738423
BH048,-59.4895810769914,-173.169469158271,-67.594362359835,-55.5716413482695
BH100,-69.6779007237921,-143.919538341785,-34.431405145474,-33.1704522228967
BH108,-54.2054643456795,-208.062595209704,-77.0084553826684,-58.359963960123
BH114,-56.709162174038,-144.784652190524,-48.7630976758339,-39.0243495582392
BH210,-64.80371664091,-167.572957125422,-53.8546851806852,-49.546231034449
BH220,-102.068870142617,-160.479973605045,-72.526431765509,-74.9316123056426
BH222,-77.2398197203222,-111.846870271367,-36.3902994628278,-35.5521827948878
BH241,-101.952784431083,-172.674568116098,-96.327182978854,-95.4962607646701
BH254,-101.899633341537,-235.544854065342,-113.667524208786,-107.167257531199
BH806,-86.2962867983558,-183.146392800038,-89.6996967439433,-86.4037708217622
BI206,-86.0547792385112,-156.941469350521,-87.1533828230494,-79.6341221270681
BI287,-71.6842086779405,-50.4467530903842,26.7180319880974,31.6874194173997
BI360,-53.2056606746813,-190.782147367262,-36.564302280914,-22.6581876998632
BI602,-74.4639003787323,-176.144789538143,-65.2714481118566,-57.2601616704709
BI712,-94.958820607773,-48.5340220500339,-36.3804988183776,-3.74937685576888
BI872,-64.3464089426982,-131.761317188207,-19.106614869232,-19.6866377920453
BJ024,-114.755602292359,-97.9879720797257,-92.2644171818851,-93.5358273386529
BJ123,-35.6195204239923,-186.379114239688,-39.1063159581468,-17.3086796431455
BJ191,-41.6389950001314,-185.580904429894,-35.7110207539886,-13.541113102914
BJ216,-120.863205409231,-74.995091196976,-57.3847203663817,-61.2499163403348
BJ523,-70.6488744789217,-140.188718983785,-52.1377455447628,-36.2660170551436
BJ578,-14.6498105777492,-20.9582495309056,152.172467981552,248.501604273168
BK008,-89.3701766408125,-38.3934583658176,-29.4771759135333,-3.7527441447628
BK050,-94.3182979188555,-223.394381291637,-77.7359378639281,-69.1539522013122
BK144,-59.8564467305552,-153.176597279656,-52.8488019073828,-31.3015134511319
BK211,-117.887660021517,-180.18746030167,-111.710247296154,-105.066076895363
BK332,-37.0139646730725,-60.2314179516036,73.1038140223053,77.5949978457769
BK390,-46.0438696467399,-54.2373427698327,42.7976346123598,41.5201651851461
BK413,-107.550927102619,-101.142651320482,-88.5679298958629,-76.0160731657277
BK415,-94.5184561498466,-197.303355657388,-85.5395664503106,-86.9428974382677
BK516,-114.002783789125,-189.233387365196,-114.85799826874,-115.932675092647
BK526,-98.0613710948673,-164.810147090985,-87.5697372604125,-86.5090220845427
BK545,-57.3215369711025,-112.554087494731,-34.0166671400179,-28.8233327956926
BK578,-46.4432306374795,-137.982278099084,-40.3539939778733,-26.0102598950915
BK620,-95.6393685427351,-169.642647320755,-84.7979568111725,-83.7798902643958
BK978,-46.5361965181004,-131.905160016788,-35.3145662817647,-12.1911156990797
BL352,-92.5868165658513,-41.5929867335567,-31.7760678710258,-3.74761881198752
BL502,-70.4421523305772,-206.182418472927,-60.8283100198807,-43.6654086705563
BL641,-55.9140301916923,-159.928833334602,-55.8422887394776,-41.9922249077417
BL760,-78.3011770555187,-275.338254188604,-93.3307188129756,-55.3794214878669
BL801,-92.8757321225211,-47.1916589112274,-35.2758919487725,-3.74871540544671
BL953,-81.9935699122695,-224.267564660595,-93.8160092435965,-80.4925421799048
BL970,-67.3213006811834,-167.602286743793,-47.2587766602928,-30.9622753798914
BL973,-75.5332335785239,-129.488940346517,-43.7596789024839,-41.9831075593888
BL974,-116.294469232033,-145.941031747317,-110.041379950847,-109.887609755529
BM050,-91.4023185451014,-185.123370687587,-82.6062995861029,-81.8504356703462
BM116,-39.4226608484216,-41.3794511612422,85.4656529187008,87.5461049522951
BM152,-45.6879226586463,-98.9373553641592,3.52339522002566,17.6516837078769
BM180,-41.1369056911197,-107.105593031712,31.8030559842451,40.409383468072
BM183,-111.228861878744,-169.752742172689,-105.926943940761,-107.038361562829
BM242,-85.3063015537445,-242.451092155725,-83.199360537675,-58.3178623883704
BM250,-70.3747440874525,-206.024027716003,-54.6128198128363,-39.600885263184
BM320,-60.1339547120427,-121.937902811637,-42.3911086706661,-36.8776174588118
BM336,-84.9049509484481,-132.98482560925,-52.6839136656649,-52.8208603877538
BM558,-64.730854050542,-229.593587010594,-51.1465673341742,-24.00564420957
BM667,-54.0572591627524,-192.900120824651,-41.4174530204877,-25.5321694846181
BM678,-75.4514400185865,-179.276692860133,-73.8992148311845,-62.5921985641476
BM732,-64.3442979754327,-174.166117761072,-38.5670406899883,-12.4456495706649
BM742,-74.0726983424236,-275.919566661388,-87.5990021192929,-55.0798472624781
BM770,-58.8488798581811,-141.318523290583,-54.2463271399075,-45.6503251275261
BN061,-72.1100977634121,-161.476958862157,-76.5095007476394,-73.3850159586935
BN114,-65.6322927670149,-200.259168412078,-76.5922922586171,-51.769141861082
BN250,-62.2632594200804,-96.4101817843338,-2.46923614043766,-0.862004910802421
BN251,-94.5216356753236,-155.605707523104,-99.8077211659064,-95.7925031695503
BN269,-101.560767168318,-171.100807960208,-91.7025928492402,-92.1480316125947
BN280,-89.5919245053001,-187.001610214958,-72.8418687563074,-69.7559479268635
BN291,-80.1504773588297,-174.127390262617,-82.194516289817,-77.2680243220864
BN337,-40.3601948523742,-144.402907082831,-42.9567438842283,-28.4382176140611
BN451,-88.1046770943437,-39.7685257376403,-30.3388506429506,-3.75051359922208
BN460,-89.2227945465047,-178.22559517914,-87.2805566624269,-79.4635547376805
BN494,-60.4677627572765,-103.441323766913,5.26142623511302,9.45153487531076
BN536,-88.2065907308594,-200.117404164334,-77.9634304056799,-77.5636255777818
BN579,-54.0351596486194,-110.498183344637,-36.4172773973653,-25.130982535016
BN811,-61.7556319888283,-104.696846679754,-2.51682885708324,9.54445846536245
BN867,-115.604606200852,-149.634204598199,-110.636219238975,-107.263209599315
BO237,-86.2520460539744,-46.6159760546484,-37.3626847772444,-20.6066349366473
BO240,-95.5357566083555,-231.161383141067,-90.5539303817206,-72.4210363106188
BO269,-108.074893182799,-181.130758082407,-110.02682389036,-107.497736935586
BO297,-79.1076450965694,-212.691598509451,-92.0907552297698,-66.162365569081
BO333,-93.6371352507402,-44.9492041395996,-34.3634017370313,-3.74273420318418
BO344,-74.1584845884944,-146.855212656293,-40.8106422528111,-40.1633633081151
BO399,-107.558731346516,-219.414284134754,-112.544360721657,-108.888729643667
BO480,-49.6739637633024,-116.041406958508,-1.64380828278075,9.23937828180441
BO642,-91.0853155649896,-188.041725817865,-76.2215075667231,-74.2665185455879
BO719,-45.8021577906318,-162.924577866482,-54.9425797626074,-25.3557531012882
BO745,-107.519095137234,-171.159354499867,-80.1755168603702,-70.8413266985078
BO762,-66.0679200385106,-154.142164775393,-33.6829144994977,-24.2832023321082
BO822,-66.1509257761465,-111.921576542623,-9.41693452463525,-6.57542351013719
BO986,-99.3292837110505,-58.3985121804649,-57.9420011672528,-35.2836094525114
